_;_;_;0,703117847442627
_;_;_;0,731010913848877
_;_;_;0,7001338005065918
_;_;_;0,708101749420166
_;_;_;0,7131047248840332
_;_;_;0,6961276531219482
_;_;_;0,6801815032958984
_;_;_;0,6562833786010742
_;_;_;0,6623353958129883
_;_;_;0,656102180480957
_;_;_;0,6663646697998047
_;_;_;0,6063859462738037
_;_;_;0,6881618499755859
_;_;_;2,748561382293701
_;_;_;0,7878799438476562
_;_;_;0,7808833122253418
_;_;_;0,7411518096923828
_;_;_;0,6720485687255859
_;_;_;0,6632270812988281
_;_;_;0,704153299331665
_;_;_;0,7470042705535889
_;_;_;0,7280154228210449
_;_;_;0,6841986179351807
_;_;_;0,6871726512908936
_;_;_;0,6990931034088135
_;_;_;0,7839536666870117
_;_;_;0,7739129066467285
_;_;_;0,749964714050293
_;_;_;0,7250618934631348
_;_;_;0,7659616470336914
_;_;_;0,756967306137085
_;_;_;1,3764748573303223
_;_;_;0,7169280052185059
_;_;_;0,7539844512939453
_;_;_;0,7779200077056885
_;_;_;0,6842103004455566
_;_;_;0,6921095848083496
_;_;_;0,6712546348571777
_;_;_;0,6921014785766602
