Mon Dec 16 13:31:10 2019343;385;700;
343;383;700;
343;374;700;
343;368;700;
343;367;700;
343;360;700;
343;349;700;
343;344;700;
343;344;700;
343;337;700;
343;329;700;
343;32;700;
343;349;700;
343;344;700;
344;349;700;
344;358;700;
344;358;700;
344;356;700;
344;363;700;
344;369;700;
344;369;700;
344;370;700;
344;376;700;
344;381;700;
344;380;700;
344;380;700;
344;385;700;
344;383;700;
344;374;700;
344;368;700;
344;367;700;
345;360;700;
345;349;700;
345;344;700;
345;344;700;
345;337;700;
345;329;700;
345;32;700;
345;349;700;
345;344;700;
345;349;700;
345;358;700;
345;358;700;
345;356;700;
345;363;700;
345;369;700;
345;369;700;
346;370;700;
346;376;700;
346;381;700;
346;380;700;
346;380;700;
347;385;700;
347;383;700;
347;374;700;
347;368;700;
347;367;700;
347;360;700;
348;349;700;
348;344;700;
348;344;700;
348;337;700;
348;329;700;
348;32;700;
348;349;700;
348;344;700;
348;349;700;
348;358;700;
348;358;700;
348;356;700;
349;363;700;
349;369;700;
349;369;700;
349;370;700;
349;376;700;
349;381;700;
349;380;700;
349;380;700;
349;385;700;
349;383;700;
349;374;700;
349;368;700;
349;367;700;
349;360;700;
350;349;700;
350;344;700;
350;344;700;
350;337;700;
350;329;700;
504;32329;700;
505;330;700;
505;330;700;
506;330;700;
506;330;700;
507;331;700;
507;331;700;
508;332;700;
508;333;700;
509;331;700;
509;332;700;
510;332;700;
511;333;700;
511;333;700;
511;334;700;
512;331;700;
513;326;700;
513;330;700;
514;335;700;
514;336;700;
515;335;700;
515;339;700;
516;343;700;
516;340;700;
517;337;700;
517;347;700;
518;354;700;
518;356;700;
519;355;700;
519;356;700;
520;356;700;
520;353;700;
521;354;700;
522;353;700;
522;345;700;
522;334;700;
523;329;700;
523;329;700;
524;328;700;
524;319;700;
525;319;700;
526;322;700;
526;318;700;
526;313;700;
527;319;700;
528;323;700;
528;319;700;
528;315;700;
529;321;700;
530;321;700;
530;317;700;
530;316;700;
531;313;700;
532;301;700;
532;303;700;
533;325;700;
533;376;700;
534;435;700;
534;471;700;
535;465;700;
535;398;700;
536;310;700;
536;263;700;
537;261;700;
537;281;700;
538;297;700;
539;305;700;
539;318;700;
540;325;700;
540;326;700;
541;324;700;
541;330;700;
