Mon Dec 16 13:21:52 20191980;330;700;_
1980;329;700;_
1980;333;700;_
1980;333;700;_
1980;330;700;_
1980;331;700;_
1980;332;700;_
1981;331;700;_
1981;326;700;_
1981;326;700;_
1981;328;700;_
1981;328;700;_
1981;3;700;_
1981;323;700;_
1981;322;700;_
1981;320;700;_
1981;322;700;_
1981;326;700;_
1981;328;700;_
1981;324;700;_
1981;327;700;_
1981;330;700;_
1982;328;700;_
1982;326;700;_
1982;329;700;_
1982;331;700;_
1983;330;700;_
1983;329;700;_
1983;333;700;_
1983;333;700;_
1984;330;700;_
1984;331;700;_
1984;332;700;_
1984;331;700;_
1984;326;700;_
1984;326;700;_
1984;328;700;_
1984;328;700;_
2142;3589;700;_
2142;590;700;_
2142;591;700;_
2143;592;700;_
2144;592;700;_
2144;593;700;_
2145;593;700;_
2146;592;700;_
2146;592;700;_
2146;592;700;_
2147;592;700;_
2147;591;700;_
2148;590;700;_
2148;589;700;_
2149;574;700;_
2149;489;700;_
2150;395;700;_
2150;345;700;_
2151;334;700;_
2152;327;700;_
2152;319;700;_
2152;313;700;_
2153;311;700;_
2154;307;700;_
2154;301;700;_
2155;299;700;_
2155;302;700;_
2156;305;700;_
2156;303;700;_
2157;304;700;_
2157;307;700;_
2158;306;700;_
2158;304;700;_
2159;307;700;_
2159;310;700;_
2160;310;700;_
2161;308;700;_
2161;312;700;_
2161;311;700;_
2162;310;700;_
2163;308;700;_
2163;311;700;_
2163;312;700;_
2164;309;700;_
2165;310;700;_
2165;315;700;_
2165;314;700;_
2166;313;700;_
2167;316;700;_
2167;320;700;_
2167;323;700;_
2168;325;700;_
2169;325;700;_
2169;333;700;_
2170;334;700;_
2170;334;700;_
2171;341;700;_
2171;347;700;_
2172;347;700;_
2172;344;700;_
2173;344;700;_
2173;344;700;_
2174;340;700;_
2174;333;700;_
2175;334;700;_
2175;332;700;_
2176;327;700;_
2177;323;700;_
2177;328;700;_
2177;330;700;_
2178;328;700;_
2179;327;700;_
2179;329;700;_
2180;330;700;_
2180;327;700;_
2181;327;700;_
2181;330;700;_
2182;329;700;_
2182;324;700;_
2183;325;700;_
2183;328;700;_
2184;327;700;_
2184;326;700;_
2185;329;700;_
2186;331;700;_
2186;329;700;_
2186;328;700;_
2187;331;700;_
2188;333;700;_
2188;327;700;_
2188;327;700;_
2189;333;700;_
2190;336;700;_
2190;331;700;_
2190;329;700;_
2191;333;700;_
2192;333;700;_
2192;330;700;_
2193;329;700;_
2193;330;700;_
2194;329;700;_
2194;326;700;_
2195;328;700;_
2196;333;700;_
2196;332;700;_
2196;328;700;_
2197;331;700;_
2197;330;700;_
2198;329;700;_
2198;326;700;_
2199;329;700;_
2200;330;700;_
2200;327;700;_
2200;326;700;_
2201;330;700;_
2202;331;700;_
2202;329;700;_
2202;325;700;_
2203;330;700;_
2204;331;700;_
2204;327;700;_
2205;329;700;_
2205;332;700;_
2206;332;700;_
2206;329;700;_
2207;330;700;_
2207;337;700;_
2208;341;700;_
2208;339;700;_
2209;342;700;_
2209;345;700;_
2210;345;700;_
2210;349;700;_
2211;357;700;_
2211;361;700;_
2212;355;700;_
2213;354;700;_
2213;359;700;_
2213;358;700;_
2214;349;700;_
2215;343;700;_
2215;340;700;_
2215;333;700;_
2216;324;700;_
2217;320;700;_
2217;324;700;_
2217;322;700;_
2218;316;700;_
2219;317;700;_
2219;318;700;_
2220;317;700;_
2220;315;700;_
2221;316;700;_
2221;319;700;_
2222;318;700;_
2222;316;700;_
2223;317;700;_
2223;317;700;_
2224;301;700;_
2224;292;700;_
2225;314;700;_
2226;353;700;_
2226;414;700;_
2227;479;700;_
2227;502;700;_
2227;453;700;_
2228;356;700;_
2229;277;700;_
2229;261;700;_
2230;277;700;_
2230;300;700;_
2231;315;700;_
2231;321;700;_
2232;322;700;_
2232;319;700;_
2233;322;700;_
2233;326;700;_
2234;326;700;_
2234;323;700;_
2235;326;700;_
2235;329;700;_
2236;328;700;_
2236;329;700;_
2237;335;700;_
2238;339;700;_
2238;335;700;_
2239;331;700;_
2239;337;700;_
2240;339;700;_
2240;338;700;_
2240;339;700;_
2241;342;700;_
2242;343;700;_
2242;344;700;_
2243;345;700;_
2243;352;700;_
2244;355;700;_
2244;354;700;_
2245;357;700;_
2245;364;700;_
2246;368;700;_
2246;368;700;_
2247;373;700;_
2247;376;700;_
2248;380;700;_
2248;379;700;_
2249;384;700;_
2249;385;700;_
2250;381;700;_
2250;375;700;_
2251;374;700;_
2252;369;700;_
2252;360;700;_
2252;352;700;_
2253;350;700;_
2253;343;700;_
2254;335;700;_
2255;331;700;_
2255;332;700;_
2256;329;700;_
2256;324;700;_
2257;322;700;_
2257;323;700;_
2258;323;700;_
2258;320;700;_
2259;322;700;_
2259;325;700;_
2260;324;700;_
2260;318;700;_
2261;319;700;_
2261;323;700;_
2262;323;700;_
2262;320;700;_
2263;324;700;_
2264;327;700;_
2264;326;700;_
2265;326;700;_
2265;327;700;_
2265;331;700;_
2266;328;700;_
2267;329;700;_
2267;332;700;_
2267;331;700;_
2268;327;700;_
2269;329;700;_
2269;333;700;_
2270;332;700;_
2270;327;700;_
